excel_field_name,db_field_name,project_id,created_at,updated_at
姓名,name,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
名字,name,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Name,name,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
性別,gender,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Gender,gender,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
生日,birthday,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
出生日期,birthday,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Birthday,birthday,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Date of Birth,birthday,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
出生地,birthplace,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
父母戶籍所在地,birthplace,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Birthplace,birthplace,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Place of Birth,birthplace,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
國籍,nationality,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Nationality,nationality,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
民族,ethnicity,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Ethnicity,ethnicity,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
籍貫,ancestral_origin,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
祖父戶籍所在地,ancestral_origin,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Ancestral Home,ancestral_origin,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
黨派,political_party,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Political Party,political_party,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
身分證號碼,id_number,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
身份證號碼,id_number,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
ID Number,id_number,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Identity Number,id_number,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
護照號碼,passport_number,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Passport Number,passport_number,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
電話,phone,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Phone,phone,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Telephone,phone,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
行動電話,mobile,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
手機,mobile,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Mobile,mobile,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Cell Phone,mobile,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
電子信箱,email,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Email,email,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
E-mail,email,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
現職單位,current_employer,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
工作單位,current_employer,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Current Workplace,current_employer,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
現居地址,address,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
居住地址,address,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Current Address,address,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
通訊地址,mailing_address,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
聯絡地址,mailing_address,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Mailing Address,mailing_address,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
親屬關係,family_relationships,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Family Relationships,family_relationships,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
經歷,experience,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
工作經歷,experience,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Experience,experience,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
學歷,education,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Education,education,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
網路帳號,online_accounts,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Online Accounts,online_accounts,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
著作,publications,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Publications,publications,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
參與活動,activities,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Activities,activities,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
重要友人,important_friends,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Important Friends,important_friends,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
經常出入場所,frequent_locations,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Frequent Places,frequent_locations,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
出國紀錄,travel_history,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Travel Records,travel_history,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
備註,remarks,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Notes,remarks,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Remarks,remarks,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
發掘經過,discovery_process,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Discovery Process,discovery_process,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
照片,photo_index,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Photo,photo_index,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
Picture,photo_index,123456-20250723192127,2025-07-20 18:39:56.341682,2025-07-23 19:21:27.127727
經歷(單位，職稱，任職期間),experience,123456-20250723192127,2025-07-20 19:58:37.138282,2025-07-23 19:21:27.127727
親屬關係(職稱，姓名),family_relationships,123456-20250723192127,2025-07-20 20:09:06.730739,2025-07-23 19:21:27.127727
著作(名稱，共同作者),publications,123456-20250723192127,2025-07-20 20:09:06.730739,2025-07-23 19:21:27.127727
參與活動(活動名稱，參與人士),activities,123456-20250723192127,2025-07-20 20:09:06.730739,2025-07-23 19:21:27.127727
重要友人(姓名，單位，關聯事件),important_friends,123456-20250723192127,2025-07-20 20:09:06.730739,2025-07-23 19:21:27.127727
出生地(父母戶籍所在地),birthplace,123456-20250723192127,2025-07-20 20:15:42.191694,2025-07-23 19:21:27.127727
籍貫(祖父戶籍所在地),ancestral_origin,123456-20250723192127,2025-07-20 20:15:42.191694,2025-07-23 19:21:27.127727
姓名,name,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
性別,gender,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
生日,birth_date,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
身分證號碼,id_number,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
護照號碼,passport_number,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
電話,phone,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
行動電話,mobile,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
電子信箱,email,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
現居地址,address,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
學歷,education,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
備註,notes,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
國籍,nationality,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
現職單位,occupation,317968-20250725030836,2025-07-25 03:12:18.332597,2025-07-25 03:12:18.332597
