id,user_id,project_name,project_description,status,created_at,completed_at,updated_at
123456-20250723192127,123456,測試人員資料99筆,測試用的人員資料，共99筆,deleted,2025-07-23 19:21:27.127727,,2025-07-24 22:27:55.64034
888888-20250723205343,888888,測試專案,這是一個用於測試的專案,deleted,2025-07-23 20:53:43.461475,,2025-07-24 04:41:39.118263
782093-20250723205634,782093,測試2,"",deleted,2025-07-23 20:56:34.497244,,2025-07-24 04:41:54.807917
893148-20250724022612,893148,測試三號,用來測試,deleted,2025-07-24 02:26:12.356383,,2025-07-24 04:41:52.842398
642682-20250724114836,642682,789,789,deleted,2025-07-24 11:48:36.689497,,2025-07-24 11:59:14.637896
371685-20250724115917,371685,123,"",deleted,2025-07-24 11:59:17.785942,,2025-07-24 12:11:27.644986
843163-20250724121130,843163,222,"",deleted,2025-07-24 12:11:30.550064,,2025-07-24 22:05:11.916423
915882-20250724222817,915882,TEST,TEST,deleted,2025-07-24 22:28:17.450882,,2025-07-24 23:32:22.103798
875522-20250725000648,875522,測試專案,測試,deleted,2025-07-25 00:06:48.924075,,2025-07-25 00:37:52.337899
158694-20250725003821,158694,123,123,deleted,2025-07-25 00:38:21.222729,,2025-07-25 02:58:48.256751
125546-20250725025906,125546,123,"",deleted,2025-07-25 02:59:06.160229,,2025-07-25 03:08:33.2669
317968-20250725030836,317968,ㄉˇ,"",active,2025-07-25 03:08:36.47541,,2025-07-25 03:08:36.47541
